score;motivo;id_a;desc_a;k55_a;origen_a;cat_a;prov_a;id_b;desc_b;k55_b;origen_b;cat_b;prov_b
0.700;revisar;635bc388-7a5d-47b8-8727-028753d06708;"Codo 90° MH bronce 2""";0;k37_enero2026;Mecánica;Iriarte;f1b5cc19-0a95-434c-a0ce-5a993ee365ce;"Codo 90° MH bronce 3/4""";2;k37_enero2026;Mecánica;Iriarte
0.700;revisar;63011cfe-d390-46b0-9787-b680e9749b42;"Codo 90° MH plástico 1""";0;k37_enero2026;Sanitarios / Griferías;Gaona;6c5a29a1-1713-4934-90f5-03ce70c448ae;"Codo 90ª MH plastico 1 1/2""";1;import_k55_excel;Sanitarios / Griferías;Casa Iriarte
0.700;revisar;553320db-1284-4a14-ae5d-d01a79ac7619;"Cuchara bronce ranurada toma 1""";0;k37_enero2026;Mecánica;Iriarte;c5cbff54-de44-47f9-998c-d2a780a00d00;"Cuchara bronce ranurada toma 1/2""";1;import_k55_excel;Sanitarios / Griferías;
0.700;revisar;fd0533dd-4834-4184-b7a5-55037071f6ef;"Cupla Inoxidable 1 1/2""";1;import_k55_excel;Mecánica;;3d0da734-c4f8-47eb-af4f-34fa63f4690a;"Cupla Inoxidable 1""";5;k37_enero2026;TANQUES;Famiq
0.700;revisar;fd0533dd-4834-4184-b7a5-55037071f6ef;"Cupla Inoxidable 1 1/2""";1;import_k55_excel;Mecánica;;24433b54-8346-4612-b4dd-d745748f2833;"Cupla Inoxidable 1¼""";0;k37_enero2026;TANQUES;Famiq
0.700;revisar;fd0533dd-4834-4184-b7a5-55037071f6ef;"Cupla Inoxidable 1 1/2""";1;import_k55_excel;Mecánica;;7fa2f38d-bf43-4108-8213-7a961dac9df5;"Cupla Inoxidable 2""";1;k37_enero2026;TANQUES;Famiq
0.700;revisar;fcafe434-ee1b-4987-a3bc-59ec80a2a3d8;"Cupla Inoxidable 1 1/4""";3;import_k55_excel;Mecánica;;3d0da734-c4f8-47eb-af4f-34fa63f4690a;"Cupla Inoxidable 1""";5;k37_enero2026;TANQUES;Famiq
0.700;revisar;fcafe434-ee1b-4987-a3bc-59ec80a2a3d8;"Cupla Inoxidable 1 1/4""";3;import_k55_excel;Mecánica;;24433b54-8346-4612-b4dd-d745748f2833;"Cupla Inoxidable 1¼""";0;k37_enero2026;TANQUES;Famiq
0.700;revisar;fcafe434-ee1b-4987-a3bc-59ec80a2a3d8;"Cupla Inoxidable 1 1/4""";3;import_k55_excel;Mecánica;;7fa2f38d-bf43-4108-8213-7a961dac9df5;"Cupla Inoxidable 2""";1;k37_enero2026;TANQUES;Famiq
0.700;revisar;3d0da734-c4f8-47eb-af4f-34fa63f4690a;"Cupla Inoxidable 1""";5;k37_enero2026;TANQUES;Famiq;8d14e4c9-52d3-434f-b91a-ae8a5eeaff0f;"Cupla Inoxidable 1/2""";3;k37_enero2026;TANQUES;Famiq
0.700;revisar;3d0da734-c4f8-47eb-af4f-34fa63f4690a;"Cupla Inoxidable 1""";5;k37_enero2026;TANQUES;Famiq;83c43781-5008-4e3b-b451-d9f3a5d004ae;"Cupla Inoxidable 1/4""";5;k37_enero2026;TANQUES;Famiq
0.700;revisar;3d0da734-c4f8-47eb-af4f-34fa63f4690a;"Cupla Inoxidable 1""";5;k37_enero2026;TANQUES;Famiq;7fa2f38d-bf43-4108-8213-7a961dac9df5;"Cupla Inoxidable 2""";1;k37_enero2026;TANQUES;Famiq
0.700;revisar;3d0da734-c4f8-47eb-af4f-34fa63f4690a;"Cupla Inoxidable 1""";5;k37_enero2026;TANQUES;Famiq;4d48101b-51dd-471c-b036-f5545a434b5e;"Cupla Inoxidable 3/4""";3;k37_enero2026;TANQUES;Famiq
0.700;revisar;8d14e4c9-52d3-434f-b91a-ae8a5eeaff0f;"Cupla Inoxidable 1/2""";3;k37_enero2026;TANQUES;Famiq;24433b54-8346-4612-b4dd-d745748f2833;"Cupla Inoxidable 1¼""";0;k37_enero2026;TANQUES;Famiq
0.700;revisar;8d14e4c9-52d3-434f-b91a-ae8a5eeaff0f;"Cupla Inoxidable 1/2""";3;k37_enero2026;TANQUES;Famiq;7fa2f38d-bf43-4108-8213-7a961dac9df5;"Cupla Inoxidable 2""";1;k37_enero2026;TANQUES;Famiq
0.700;revisar;83c43781-5008-4e3b-b451-d9f3a5d004ae;"Cupla Inoxidable 1/4""";5;k37_enero2026;TANQUES;Famiq;24433b54-8346-4612-b4dd-d745748f2833;"Cupla Inoxidable 1¼""";0;k37_enero2026;TANQUES;Famiq
0.700;revisar;83c43781-5008-4e3b-b451-d9f3a5d004ae;"Cupla Inoxidable 1/4""";5;k37_enero2026;TANQUES;Famiq;7fa2f38d-bf43-4108-8213-7a961dac9df5;"Cupla Inoxidable 2""";1;k37_enero2026;TANQUES;Famiq
0.700;revisar;24433b54-8346-4612-b4dd-d745748f2833;"Cupla Inoxidable 1¼""";0;k37_enero2026;TANQUES;Famiq;7fa2f38d-bf43-4108-8213-7a961dac9df5;"Cupla Inoxidable 2""";1;k37_enero2026;TANQUES;Famiq
0.700;revisar;24433b54-8346-4612-b4dd-d745748f2833;"Cupla Inoxidable 1¼""";0;k37_enero2026;TANQUES;Famiq;4d48101b-51dd-471c-b036-f5545a434b5e;"Cupla Inoxidable 3/4""";3;k37_enero2026;TANQUES;Famiq
