excel_row;clasificacion;accion_sugerida;match_type;material_id_candidato;descripcion_candidato;score_candidato;item_original;cantidad_k55_excel;unidad;k37_actual;k52_actual;k55_actual;proveedor;rubro;observacion;flag_original;motivo_revision
228;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Puertitas cockpit K55;2;Unidades;;;;Maxi Herrero;;;STD;
229;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Punteras de plástico para perfil tira LED;60;Unidades;;;;;Electricidad;;STD;
231;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Racor H a codo de 1 1/2"" plastico";5;Unidades;;;;Casa Iriarte;Sanitarios;PX CODRAC11/2;STD;
232;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Racor H a codo de 1"" plastico";12;Unidades;;;;Casa Iriarte;Sanitarios;PX CODRAC1H;STD;
233;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Racor H a codo de 1/2"" plastico";5;Unidades;;;;Casa Iriarte;Sanitarios;PX CODRAC11/2;STD;
234;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Racor H a codo de 3/4"" plastico";3;Unidades;;;;Casa Iriarte;Sanitarios;PX CODRAC3/4H;STD;
236;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Racor M 3/4"" bronce";6;Unidades;;;;Casa Iriarte;Sanitarios;;STD;
237;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Racor M a codo de 1"" plastico";3;Unidades;;;;Casa Iriarte;Sanitarios;PX RACCOD90-1;STD;
238;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Racor M a codo de 1/2"" plastico";8;Unidades;;;;Casa Iriarte;Sanitarios;PX RACCOD1/2M;STD;
239;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Racor M a codo de 3/4"" plastico";2;Unidades;;;;Casa Iriarte;Sanitarios;C 110 1 X 3/4 FL;STD;
240;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Racor M de 1"" plastico";5;Unidades;;;;Casa Iriarte;Sanitarios;PX RACCOD90-1;STD;
241;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Racor M de 1/2"" plastico";2;Unidades;;;;;Sanitarios;PX RAC1/2M;STD;
242;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Racor M de 3/4"" plastico";7;Unidades;;;;Casa Iriarte;Sanitarios;PX RACCOD3/4M;STD;
243;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Racor M de bronce 1 1/2"" x 38mm";3;Unidades;;;;Casa Iriarte;Sanitarios;C127 11/2X11/2;STD;
244;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Radio VHF;1;Unidades;;;;;;"Garmin VHF 215 Marine Radio (010-02097-00)
Garmin GHS 11 wired VHF Handset (010-01759-00)";STD;
245;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Recorte chapa de inox 316 de 400mm x 250mm x 1/2"" de espesor";2;Unidades;;;;;Mecanica;;STD;
246;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Recorte chapa de inox 316 según plantilla ""Patas de gallo - K52"", e = ?";4;Unidades;;;;;Mecanica;;STD;
247;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;REGULADOR DE AGUA AMARRA;1;Unidades;;;;Flojumar;Electricidad;;STD;
248;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Rejilla D60 Obturable Negra - Calefactor Autoterm;4;Unidades;;;;Baron;Sanitarios;C89099;STD;
249;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Rejilla D60 Orientable Negra - Calefactor Autoterm;2;Unidades;;;;Baron;Sanitarios;C89943;STD;
250;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Rejilla D90 Obturable Negra - Calefactor Autoterm;5;Unidades;;;;Baron;Sanitarios;C89108;STD;
